employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,department_name,location_id
100,Steven,King,steven.king@sqltutorial.org,515.123.4567,17-06-1987,4,24000,NULL,9,,
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,21-09-1989,5,17000,100,9,,
102,Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,13-01-1993,5,17000,100,9,,
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,03-01-1990,9,9000,102,6,,
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,21-05-1991,9,6000,103,6,,
105,David,Austin,david.austin@sqltutorial.org,590.423.4569,25-06-1997,9,4800,103,6,,
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,05-02-1998,9,4800,103,6,,
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,07-02-1999,9,4200,103,6,,
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,17-08-1994,7,12000,101,10,,
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,16-08-1994,6,9000,108,10,,
110,John,Chen,john.chen@sqltutorial.org,515.124.4269,28-09-1997,6,8200,108,10,,
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,30-09-1997,6,7700,108,10,,
112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,515.124.4469,07-03-1998,6,7800,108,10,,
113,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,07-12-1999,6,6900,108,10,,
114,Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,07-12-1994,14,11000,100,3,Purchasing,1700
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,18-05-1995,13,3100,114,3,Purchasing,1700
116,Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,24-12-1997,13,2900,114,3,Purchasing,1700
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,24-07-1997,13,2800,114,3,Purchasing,1700
118,Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,15-11-1998,13,2600,114,3,Purchasing,1700
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,10-08-1999,13,2500,114,3,Purchasing,1700
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,650.123.1234,18-07-1996,19,8000,100,5,Shipping,1500
121,Adam,Fripp,adam.fripp@sqltutorial.org,650.123.2234,10-04-1997,19,8200,100,5,Shipping,1500
122,Payam,Kaufling,payam.kaufling@sqltutorial.org,650.123.3234,01-05-1995,19,7900,100,5,Shipping,1500
123,Shanta,Vollman,shanta.vollman@sqltutorial.org,650.123.4234,10-10-1997,19,6500,100,5,Shipping,1500
126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,650.124.1224,28-09-1998,18,2700,120,5,Shipping,1500
145,John,Russell,john.russell@sqltutorial.org,NULL,01-10-1996,15,14000,100,8,,
146,Karen,Partners,karen.partners@sqltutorial.org,NULL,05-01-1997,15,13500,100,8,,
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,NULL,24-03-1998,16,8600,100,8,,
177,Jack,Livingston,jack.livingston@sqltutorial.org,NULL,23-04-1998,16,8400,100,8,,
178,Kimberely,Grant,kimberely.grant@sqltutorial.org,NULL,24-05-1999,16,7000,100,8,,
179,Charles,Johnson,charles.johnson@sqltutorial.org,NULL,04-01-2000,16,6200,100,8,,
192,Sarah,Bell,sarah.bell@sqltutorial.org,650.501.1876,04-02-1996,17,4000,123,5,Shipping,1500
193,Britney,Everett,britney.everett@sqltutorial.org,650.501.2876,03-03-1997,17,3900,123,5,Shipping,1500
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,17-09-1987,3,4400,101,1,Administration,1700
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,17-02-1996,10,13000,100,2,Marketing,1800
202,Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,17-08-1997,11,6000,201,2,Marketing,1800
203,Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,07-06-1994,8,6500,101,4,Human Resources,2400
204,Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,07-06-1994,12,10000,101,7,,
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,07-06-1994,2,12000,101,11,,
206,William,Gietz,william.gietz@sqltutorial.org,515.123.8181,07-06-1994,1,8300,205,11,,
